Our Product Name,Our Price,Our SKU
Tolsen Cordless Impact Wrench 1/2'' Kit (2 x 2.0Ah Battery & Charger) (1),260.00,A99007289
Tolsen Battery Charger 4.0Ah,56.00,A99006992
Iccons Pure Epoxy Injection System 585ml,96.00,A11952061
Tolsen Household Tool Set 89pc,127.00,A10124293
Tolsen Extension Bar 1/2'' x 250mm,14.65,A99007008
"Rachet Handle 1/2""",10.00,A99008743
"Vorel Rachet Curved Polypropylene Handle 1/2""",25.00,A99008744
Tolsen Extension Bar 1/2'' x 125mm,9.80,A99007007
Igoto 2 Gang Switch 10A,3.80,A30105064
Igoto Double GPO 10A,5.00,A30105070
Spear & Jackson Digging Fork Plastic Handle,113.00,A10801001
Igoto Single GPO 10A Extra Switch,5.00,A30105071
Igoto 1 Gang Switch 10A,2.50,A30105063
Spear & Jackson Contractor Fork Wooden Handle,145.00,A10801002
Igoto 3 Gang Switch 10A,5.00,A30105065
ERA Coupling Downpipe PVC 80mm,15.00,A40225075
Spear & Jackson Post Hole Spade Plastic Handle,98.00,A10802006
Hepol Weatherproof Double GPO 10A,20.50,A30203405
Hepol Weatherproof Single GPO 15A **,18.95,A30203404
Daytek M38 MK2 Rotary Hoist Clothesline Folding Iron Grey,825.00,A11818010
Spear & Jackson Digging Spade Plastic Handle,108.00,A10802001
Tramontina Pro 3 Leg Oil Filter Wrench 63-120mm,51.50,A10124168
Igoto Double GPO 15A,10.00,A30105077
Cyclone Shifting Shovel Round Mouth Long Handle,125.00,A10803038
Screwdriver Drill 46pc,45.00,A99008134
Cyclone Shifting Shovel Square Mouth Long Handle,110.00,A10803036
Liper Luminoso Wall Light Vintage E27 IP55 Black,30.00,A99007957
Igoto Single GPO 15A,4.00,A30105073
Hepol Weatherproof Double GPO 15A,44.00,A30203406
Igoto Single GPO 10A,3.50,A30105069
Spear & Jackson Post Hole Spade Wooden Handle,113.00,A10802008
Fallshaw Castor 200mm for Scaffold 500kg SC13,309.00,A10704025
Ozlec 3 Pin Plug Female 10A,3.90,A30301071
Igoto Fan Controller,13.00,A30105080
Decobay Bari Acrylic Free Standing Bath Tub Black 1700 x 800 x 580mm,2739.00,A40717144
Taparia Screwdriver Neon Bulb,4.15,A11015028
Hepol Weatherproof Single GPO 10A,13.65,A30203403
Daytek M58 MK2 Rotary Hoist Clothesline Folding Iron Grey,1321.00,A11818012
"Makita Cold Metal Cut Saw 305mm (12"")",1702.00,A11118323
Fallshaw Castor 150mm for Scaffold 360kg SC30,310.00,A10716064
Cyclone Plumbers Shovel Long Handle,78.00,A10803039
Elwell Hoe Head 1.5lbs,26.00,A10805006
"Tolsen Nut Runner 10mm x 3pc 1/4"" Hex Magnetic",5.85,A11844110
"Tolsen Nut Runner 3/8"" x 3pc 1/4"" Hex Magnetic",6.00,A11844109
Fantasy Spark LED Study Table Lamp With Speaker 240V,40.00,A99008633
Spear & Jackson Digging Spade Wooden Handle,113.00,A99005023
Igoto Double GPO 10A USB,19.00,A30105076
Igoto Double GPO 10A Extra Switch,6.50,A30105072
Avan Double Surge Protector,7.35,A99006861
Powermate Double Adaptor A-19,3.40,A30303011
Igoto Blank Plate,2.30,A30105074
Avan Double Adaptor A-19,3.40,A99006860
"Tramontina Pro Extension Bar 1/2"" x 125mm",12.65,A10124357
Igoto Dimmer Switch,13.00,A30105079
Igoto 6 Gang Switch 10A,9.20,A30105068
Igoto 4 Gang Switch 10A,6.00,A30105066
Fantasy LED Study Lamp with magnifying Glass 240V,35.00,A99008629
Fantasy Neo LED Beam Study Lamp Vintage 240V,65.00,A99008634
"Tramontina Pro Ratchet Handle 1/2""",41.00,A10124410
Promate Car Wireless FM Modulator w/ Quick Charge 3.0 Port,30.00,A11531376
"Tramontina Pro Flexible Handle 1/2"" x 250mm",31.00,A10124358
CLSOL VHP 15A Plug Waterproof IP68 Orange,34.00,A30301404
Igoto Single GPO 10A USB,16.00,A30105075
Igoto 5 Gang Switch 10A,7.00,A30105067
Roco PorTable Hair Dryer 1100W White Abs Plastic,87.00,A11721011
Eveready Flashlight Large,9.80,A61008290
Tramontina Pro Insulated Screwdriver Philip 6 x 200mm,6.25,A10124167
Promate FM Transmitter MicroSD/AUX/USB/BT Dual USB Ports,43.00,A11531386
CLSOL VHP 10A Plug Waterproof IP66 Orange,29.50,A30301402
Powermate LED Bulb 5W E27 Daylight,4.40,A30100980
Long Mouth Tea Pot 600ml Silver,35.00,A11842198
Tramontina Pro T Handle Nut Driver 12mm,10.30,A10124142
Tramontina Pro T Handle Nut Driver 10mm,8.25,A10124141
Tramontina Pro T Handle Nut Driver 14mm,12.40,A10124143
Tolsen Pliers Set 3pc Industrial,28.50,A10101830
"Tolsen Fencing Pliers 250mm (10"")",21.50,A10101823
Basix Pliers Set 3pc x 150mm,11.75,A99004598
Tolsen Multi-Function Stripping Combination Pliers,36.00,A99004852
Tramontina Pro PVC Pipe Cutter Pliers 0-63mm,139.00,A10124164
"Tolsen Water Pump Plier 10"" 250mm",15.65,A11844113
Tolsen Side Cutting Pliers 180mm,9.80,A99004812
Tolsen Combination Pliers Industrial 200mm,14.65,A99004813
Tolsen Side Cutting Pliers Industrial 180mm,13.00,A10101815
Tolsen Ratchet Modular Crimping Pliers Industrial,17.60,A99004851
"Diagonal Linesmen Pliers 8"" (200mm)",9.35,A11006056
Tolsen 4pk Circlip Pliers Set,37.00,A10509069
"Tramontina Master Combination Pliers 200mm 8""",15.65,A10124120
"Tramontina Pro Combination Pliers 8"" 200mm 1000V Insulation",24.50,A10124145
Supercraft Pliers Circlip 4pc Set,41.00,A11006091
Tolsen Mini Plier Set 6pcs,49.00,A99006998
Tolsen Ratchet Crimping Plier (Industrial),22.50,A99002781
RAI Tile Levelling Plier,23.50,A50315247
Tolsen Wire Stripping Pliers Industrial 160mm,13.70,A99004816
KMT Long Nose Plier 200mm,12.40,A10918127
"Tolsen Locking Plier 10"" 250mm",9.80,A11844114
Tolsen Tile Leveling Plier 220mm,14.65,A99007042
Tolsen Locking Pliers 250mm,19.55,A99004821
Tolsen 90 - Degree Long Reach Pliers 280mm,20.55,A99004820
Tolsen Bent Nose Pliers Industrial 160mm,11.75,A99004815
"Tramontina Master Locking Pliers 10"" 250mm",22.50,A10124121
Tolsen long Nose Pliers Industrial 200mm,11.75,A99004814
Tramontina Master Pliers Set 3pc,34.00,A10124115
"Tramontina Master Water Pump Pliers 10"" 250mm",26.00,A10124127
Yato Crimping Plier Set 5 Jaws,120.00,A99008717
Tolsen Multip Purpose Plier 102 x 46 x 23mm,23.50,A11844105
John Tile Cutter Plier,9.35,A10910112
Tolsen Mini Pliers Set 3pc x 115mm,19.55,A99004818
"Tramontina Master Long Nose Pliers 200mm 8""",20.65,A10124126
"Tramontina Pro Diagonal Cutting Pliers 6"" 150mm",20.65,A10124153
"Tramontina Master Diagonal Cutting Pliers 150mm 6""",15.65,A10124122
"Tramontina Pro Long Nose Pliers 200m 8"" 1000V Insulation",26.00,A10124151
"Tramontina Pro Flat Locking Pliers 10"" 250mm",36.00,A10124161
KMT Combination Plier 200mm,15.45,A10918126
"Tolsen Combination Plier 200mm (8"")",11.75,A11844068
"Tolsen Long Nose Plier 6"" 160mm",5.85,A11844069
Tolsen Revolving Punch Pliers 220mm,10.75,A10514002
Tolsen Straight Long Reach Pliers 280mm,15.65,A99004819
"Tramontina Pro Circlip Plier Straight Internal 7"" 180mm",20.65,A10124157
"Tramontina Pro Circlip Plier Curved External 7"" 180mm",20.65,A10124160
"Tramontina Pro Circlip Plier Straight External 7"" 180mm",20.65,A10124158
"Tramontina Pro Circlip Plier Curved Internal 7"" 180mm",20.65,A10124159
Tolsen Side PliersFish Tape Puller & Crimper 240mm,39.00,A99004817
Tolsen Hand Tools Set (9pc),57.00,A10514003
Tolsen Hydraulic Crimping Tool 305mm Industrial,146.00,A99004834
Fixworx Crimp Oval for Cable & Wire Rope M6 2pc Alum,1.95,A10301021
CLC Custom Leathercraft Suede 8 Pocket Tool Bag,72.00,A11001201
Fixworx Crimp Oval for Cable & Wire Rope M8 2pc Alum,2.25,A10301022
Fixworx Crimp Oval for Cable & Wire Rope M4 2pc Alum,2.25,A10301020
Bolt & Nut Galv Hex M10 x 25 Full Thread,0.65,A10217005
"Tolsen Diagonal Cutting Pilers 180mm 7""",12.70,A10124004
Tolsen Screwdriver Bits Set 15pc,12.70,A10907043
Tolsen Screwdriver Bits Set 2pk S2 Anti-Slip PZ2 x 50mm,2.45,A10907040
Tolsen Industrial Insulated Screwdriver Set 13pcs,54.00,A99007038
Tramontina Pro Screwdriver Set 6pc,26.00,A10124329
Tolsen screwdriver Bits 2pc Set Industrial (Hex),3.40,A99004855
Tolsen Screwdriver Bits Set 2pc S2 x 50mm,2.95,A10907041
Tombo Screwdriver Set 10pc,10.75,A10901361
Tolsen Screwdriver Set 6pc #HTM-TS20014,17.60,A10124186
Tolsen Screwdriver Bits Set 2pk S2 Anti-Slip PZ2 x 25mm,2.10,A10907037
Tolsen Screwdriver Bits Set 2pk S2 Anti-Slip PH2 x 50mm,2.60,A10907039
Tolsen Impact Screwdriver Bit 10pc Set,10.00,A99007815
Tolsen Screw Driver Set 100pcs,107.00,A99004828
Tolsen Precision Screw Driver Tool Set 32pcs,15.65,A99004829
Tolsen Insulated Screwdriver Philips PH2 x 100mm,7.85,A11844095
Tolsen Double End Screw- Driver Bits Set 10pk S2 Anti-Slip PH2,12.70,A10907042
Tolsen Screwdriver Bit Holder Quick Release,8.80,A10907044
Tolsen Screwdriver Set 6pc #HTM-TS20029,12.40,A10509100
Makita Autofeed Screwdriver Bit PH2 x 132mm,27.50,A11102011
Makita Screw Driver Double End PH2 x 65mm,2.95,A10914654
Vorel Screw Driver Set Hex Torx Spline 40pc Set,30.00,A99008747
Tolsen Screw Driver Set 10pk x 75-150mm,23.50,A99004827
Screwdriver 7pc Plastic Handle,15.00,A11015194
Tombo Screwdriver Set 6pc,7.25,A10901359
Tolsen Screwdriver Bits Set 2pc S2 x 25mm,2.00,A10907038
Tolsen Screwdriver Slotted 4 x 100mm,2.95,A11844074
Tolsen Screwdriver Philips PH2 x 150mm,2.95,A11844076
Tolsen Screwdriver Bits Set 2pk S2 Anti-Slip PH2 x 25mm,2.10,A10907036
Tramontina Pro Insulated Screwdriver Philip 6x250mm,7.25,A10124130
Vorel T-bar Screw Driver 41pc Set,15.00,A99008745
Tolsen Insulated Screwdriver Slotted 6.5 x 150mm,5.85,A11844094
Makita Drywall Screw Driver Bit PH2 x 40mm,5.85,A10514036
Tramontina Pro Insulated Screwdriver Slotted Tip 5 x 200mm,6.25,A10124128
Tolsen Precision Screwdriver 6pc Metal,3.90,A10101827
Tolsen Screwdriver Pozi PZ2 x 150mm,3.90,A11844077
Tolsen Screw Driver Set 4pcs x 100-150mm,11.75,A99004826
Tramontina Pro Screwdriver Slotted 3 x 100mm,5.20,A10124387
Tolsen Insulated Screwdriver Pozi PZ2 x 100mm,8.80,A11844096
Tramontina Precision Screwdriver 6pc Metal Handle,8.30,A10124417
Tramontina Master Screwdriver Set 14pk with Stand,33.00,A10124393
Makita Autofeed Screwdriver Bit PH2 x 160mm 5pc,39.00,A11118215
Tramontina Pro Screwdriver Phillip Tip 6 x 150mm,5.20,A10124136
Tramontina Pro Screwdriver Slotted 6 x 200mm,6.35,A10124389
Tolsen Screwdriver Stubby Set 6 x 38mm 2pc,3.90,A10916221
Tramontina Pro Insulated Screwdriver Philip 5 x 200mm,6.25,A10124129
Tramontina Pro Screwdriver Phillip Tip 6 x 38mm,3.40,A10124135
Tramontina Pro Screwdriver Slotted Tip 5 x 200mm,6.25,A10124134
Tramontina Pro Screwdriver Slotted Tip 5 x 38mm,3.15,A10124132
Tramontina Master Screwdriver Set 10pc,38.00,A10124117
Tramontina Pro Screwdriver Slotted 8 x 250mm,8.80,A10124392
Tramontina Pro Screwdriver Slotted 5 x 75mm,4.15,A10124388
Tramontina Pro Screwdriver Slotted 8 x 200mm,9.35,A10124391
Tramontina Pro Screwdriver Slotted 6 x 250mm,7.35,A10124390
Tramontina Pro Screwdriver Phillip Tip 5 x 150mm,4.90,A10124171
Tramontina Pro Screwdriver Slotted Tip 5 x 150mm,4.15,A10124133
Tolsen Screwdriver Slotted 6.5 x 150mm,3.90,A11844075
Tramontina Pro Screwdriver Phillip Tip 6 x 250mm,8.25,A10124138
Tramontina Pro Screwdriver Phillip Tip 6 x 200mm,7.25,A10124137
Zenith Stainless Steel Decking Screw T17 8G x 40mm (50pk),23.00,A99005011
Zenith Stainless Steel Decking Screw T17 8G x 50mm (50pk),26.50,A99005012
Zenith Stainless Steel Decking Screw T17 8G x 65mm (50pk),32.00,A99005013
Hose Clip Galv 85-100mm,1.80,A11710015
Maspion Tool Box PVC 320mm,20.65,A11001089
Tolsen Multipurpose K/Scissors S/S N/Slip HDL Yellow,14.65,A10907049
Iccons SDS Screw Button C3 8-18G x 12mm (1000pk) Galvanized,46.00,A99004752
Hose Clip Galv 55-70mm,0.80,A11710012
Tolsen Power Bit Set 26pcs,24.50,A99007012
Makita Power Bit PZ2 x 50mm,2.95,A10914647
"Plumbing Access Panel 14 x 14"" White 34056",57.00,A11430220
Tramontina Master Voltage Tester 3 x 75mm (80-250V),5.20,A10124140
Tramontina Hand Tools Set 7pc,10.30,A10509017
Tramontina Hand Tools Set 6pc,20.65,A10509016
Tolsen Plasterboard Screw Bugle 6G x 50mm (200pk),5.85,A99007588
Tolsen Plasterboard Screw Bugle 6G x 38mm (200pk),4.70,A99007586
Tramontina Hand Tools Set 5pc,20.65,A10509015
Tolsen Plasterboard Screw Bugle 6G x 45mm (200pk),5.50,A99007587
Tolsen Plasterboard Screw Bugle 6G x 32mm (200pk),4.15,A99007585
Tolsen Plasterboard Screw Bugle 6G x 25mm (200pk),3.35,A99007584
Tolsen Plasterboard Screw Bugle 6G x 19mm (200pk),2.80,A99007583
Vorel Mobile Phone Repair Tool 32pc Set,30.00,A99008746
